ID,Var_ID,Name,Description,ord
001-0,001,absent,absent,0
001-1,001,present,present,1
002-0,002,absent,absent,0
002-1,002,present,present,1
003-0,003,absent,absent,0
003-1,003,present,present,1
004-0,004,absent,absent,0
004-1,004,present,present,1
005-0,005,absent,absent,0
005-1,005,present,present,1
006-0,006,absent,absent,0
006-1,006,present,present,1
007-0,007,absent,absent,0
007-1,007,present,present,1
008-0,008,absent,absent,0
008-1,008,present,present,1
009-0,009,absent,absent,0
009-1,009,present,present,1
010-0,010,absent,absent,0
010-1,010,present,present,1
011-0,011,absent,absent,0
011-1,011,present,present,1
012-0,012,absent,absent,0
012-1,012,present,present,1
013-0,013,absent,absent,0
013-1,013,present,present,1
014-0,014,absent,absent,0
014-1,014,present,present,1
015-0,015,absent,absent,0
015-1,015,present,present,1
016-0,016,absent,absent,0
016-1,016,present,present,1
017-0,017,absent,absent,0
017-1,017,present,present,1
018-0,018,absent,absent,0
018-1,018,present,present,1
019-0,019,absent,absent,0
019-1,019,present,present,1
020-0,020,absent,absent,0
020-1,020,present,present,1
021-0,021,absent,absent,0
021-1,021,present,present,1
022-0,022,absent,absent,0
022-1,022,present,present,1
023-0,023,absent,absent,0
023-1,023,present,present,1
024-0,024,absent,absent,0
024-1,024,present,present,1
025-0,025,absent,absent,0
025-1,025,present,present,1
026-0,026,absent,absent,0
026-1,026,present,present,1
027-0,027,absent,absent,0
027-1,027,present,present,1
028-0,028,absent,absent,0
028-1,028,present,present,1
029-0,029,absent,absent,0
029-1,029,present,present,1
030-0,030,absent,absent,0
030-1,030,present,present,1
031-0,031,absent,absent,0
031-1,031,present,present,1
032-0,032,absent,absent,0
032-1,032,present,present,1
033-0,033,absent,absent,0
033-1,033,present,present,1
034-0,034,absent,absent,0
034-1,034,present,present,1
035-0,035,absent,absent,0
035-1,035,present,present,1
036-0,036,absent,absent,0
036-1,036,present,present,1
037-0,037,absent,absent,0
037-1,037,present,present,1
038-0,038,absent,absent,0
038-1,038,present,present,1
039-0,039,absent,absent,0
039-1,039,present,present,1
040-0,040,absent,absent,0
040-1,040,present,present,1
041-0,041,absent,absent,0
041-1,041,present,present,1
042-0,042,absent,absent,0
042-1,042,present,present,1
043-0,043,absent,absent,0
043-1,043,present,present,1
044-0,044,absent,absent,0
044-1,044,present,present,1
045-0,045,absent,absent,0
045-1,045,present,present,1
046-0,046,absent,absent,0
046-1,046,present,present,1
047-0,047,absent,absent,0
047-1,047,present,present,1
048-0,048,absent,absent,0
048-1,048,present,present,1
049-0,049,absent,absent,0
049-1,049,present,present,1
050-0,050,absent,absent,0
050-1,050,present,present,1
051-0,051,absent,absent,0
051-1,051,present,present,1
052-0,052,absent,absent,0
052-1,052,present,present,1
053-0,053,absent,absent,0
053-1,053,present,present,1
054-0,054,absent,absent,0
054-1,054,present,present,1
055-0,055,absent,absent,0
055-1,055,present,present,1
056-0,056,absent,absent,0
056-1,056,present,present,1
057-0,057,absent,absent,0
057-1,057,present,present,1
058-0,058,absent,absent,0
058-1,058,present,present,1
059-0,059,absent,absent,0
059-1,059,present,present,1
060-0,060,absent,absent,0
060-1,060,present,present,1
061-0,061,absent,absent,0
061-1,061,present,present,1
062-0,062,absent,absent,0
062-1,062,present,present,1
063-0,063,absent,absent,0
063-1,063,present,present,1
064-0,064,absent,absent,0
064-1,064,present,present,1
065-0,065,absent,absent,0
065-1,065,present,present,1
066-0,066,absent,absent,0
066-1,066,present,present,1
067-0,067,absent,absent,0
067-1,067,present,present,1
068-0,068,absent,absent,0
068-1,068,present,present,1
069-0,069,absent,absent,0
069-1,069,present,present,1
070-0,070,absent,absent,0
070-1,070,present,present,1
071-0,071,absent,absent,0
071-1,071,present,present,1
072-0,072,absent,absent,0
072-1,072,present,present,1
073-0,073,absent,absent,0
073-1,073,present,present,1
074-0,074,absent,absent,0
074-1,074,present,present,1
075-0,075,absent,absent,0
075-1,075,present,present,1
076-0,076,absent,absent,0
076-1,076,present,present,1
077-0,077,absent,absent,0
077-1,077,present,present,1
078-0,078,absent,absent,0
078-1,078,present,present,1
079-0,079,absent,absent,0
079-1,079,present,present,1
080-0,080,absent,absent,0
080-1,080,present,present,1
081-0,081,absent,absent,0
081-1,081,present,present,1
082-0,082,absent,absent,0
082-1,082,present,present,1
083-0,083,absent,absent,0
083-1,083,present,present,1
084-0,084,absent,absent,0
084-1,084,present,present,1
085-0,085,absent,absent,0
085-1,085,present,present,1
086-0,086,absent,absent,0
086-1,086,present,present,1
087-0,087,absent,absent,0
087-1,087,present,present,1
088-0,088,absent,absent,0
088-1,088,present,present,1
089-0,089,absent,absent,0
089-1,089,present,present,1
090-0,090,absent,absent,0
090-1,090,present,present,1
091-0,091,absent,absent,0
091-1,091,present,present,1
092-0,092,absent,absent,0
092-1,092,present,present,1
093-0,093,absent,absent,0
093-1,093,present,present,1
094-0,094,absent,absent,0
094-1,094,present,present,1
095-0,095,absent,absent,0
095-1,095,present,present,1
096-0,096,absent,absent,0
096-1,096,present,present,1
097-0,097,absent,absent,0
097-1,097,present,present,1
098-0,098,absent,absent,0
098-1,098,present,present,1
099-0,099,absent,absent,0
099-1,099,present,present,1
100-0,100,absent,absent,0
100-1,100,present,present,1
101-0,101,absent,absent,0
101-1,101,present,present,1
102-0,102,absent,absent,0
102-1,102,present,present,1
103-0,103,absent,absent,0
103-1,103,present,present,1
104-0,104,absent,absent,0
104-1,104,present,present,1
105-0,105,absent,absent,0
105-1,105,present,present,1
106-0,106,absent,absent,0
106-1,106,present,present,1
107-0,107,absent,absent,0
107-1,107,present,present,1
108-0,108,absent,absent,0
108-1,108,present,present,1
109-0,109,absent,absent,0
109-1,109,present,present,1
110-0,110,absent,absent,0
110-1,110,present,present,1
111-0,111,absent,absent,0
111-1,111,present,present,1
112-0,112,absent,absent,0
112-1,112,present,present,1
113-0,113,absent,absent,0
113-1,113,present,present,1
114-0,114,absent,absent,0
114-1,114,present,present,1
115-0,115,absent,absent,0
115-1,115,present,present,1
116-0,116,absent,absent,0
116-1,116,present,present,1
117-0,117,absent,absent,0
117-1,117,present,present,1
118-0,118,absent,absent,0
118-1,118,present,present,1
119-0,119,absent,absent,0
119-1,119,present,present,1
120-0,120,absent,absent,0
120-1,120,present,present,1
121-0,121,absent,absent,0
121-1,121,present,present,1
122-0,122,absent,absent,0
122-1,122,present,present,1
123-0,123,absent,absent,0
123-1,123,present,present,1
124-0,124,absent,absent,0
124-1,124,present,present,1
125-0,125,absent,absent,0
