ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment
CARNEIRO_001,Agriculture present,"Agriculture (horticulture) present (i.e., domesticated food plants cultivated)",,Subsistence,Categorical,,,,
CARNEIRO_002,Agriculture and domestic animals are primary subsistence,Agriculture and/or domesticated animals provide the major part of subsistence (about 75% or more),,Subsistence,Categorical,,,,
CARNEIRO_003,Agricultural plots repeatedly cultivated,Agricultural plots repeatedly cultivated except for periods of fallow (if they occur),,Subsistence,Categorical,,,,
CARNEIRO_004,Improved techniques of planting,"Improved techniques of planting (e.g., mounds, planting in rows, breaking of clods, plowing, fertilization)",,Subsistence,Categorical,,,,
CARNEIRO_005,Soil-working tools,"Soil-working tools other than the digging stick (e.g., hoe, spade, rake, foot plow)",,Subsistence,Categorical,,,,
CARNEIRO_006,Harvesting tools,"Harvesting tools other than a simple beating stick used in reaping or threshing domesticated plants (e.g., flail, sickle, rice header, winnowing tray)",,Subsistence,Categorical,,,,
CARNEIRO_007,Animal-drawn plow,Animal-drawn plow,,Subsistence,Categorical,,,,
CARNEIRO_008,Fertilization of land,"Fertilization of land with material other than wood ashes (e.g., animal manure, night soil, green manure, compost, fresh soil or mud)",,Subsistence,Categorical,,,,
CARNEIRO_009,Fences built to protect crops,Fences built around fields or gardens to protect crops,,Subsistence,Categorical,,,,
CARNEIRO_010,Major male contribution to agriculture,Men do as much or more of the agricultural work as women (beyond clearing),,Subsistence,Categorical,,,,
CARNEIRO_011,Increasing agricultural land through drainage,Drainage employed to increase the area of available agricultural land,,Subsistence,Categorical,,,,
CARNEIRO_012,Irrigation of agricultural land,Irrigation of agricultural land,,Subsistence,Categorical,,,,
CARNEIRO_013,Permanent dams or dikes,"Permanent dams or dikes to impound water for irrigation, drinking, etc.",,Subsistence,Categorical,,,,
CARNEIRO_014,Terracing,Terracing (including the erection of barriers to reduce soil slippage),,Subsistence,Categorical,,,,
CARNEIRO_015,Agricultural land reverted,"Agricultural land reverts to kinship group (e.g., lineage, sib), chief or tribe, king or state, as personal property or for reassignment when owner abandons the land or dies without heirs",,Subsistence,Categorical,,,,
CARNEIRO_016,Agricultural land reapportioned,"Most of the agricultural land systematically reapportioned from time to time by the village, chief, tribe, or state to insure equitable distribution and/or a high degree of cultivation, rather than for services rendered",,Subsistence,Categorical,,,,
CARNEIRO_017,Measures to promote or maintain agricultural production,"Chief, king, or other official(s) takes measures to promote or maintain agricultural production (e.g., requires land to be worked efficiently and punishes failure to do so)",,Subsistence,Categorical,,,,
CARNEIRO_018,Planting and harvesting times determined by specialists,Political or religious officials or other specialists determine the time of planting and harvesting,,Subsistence,Categorical,,,,
CARNEIRO_019,State or church provides farmers with equipment,State or church provides farmers with seed or tools for agricultural purposes,,Subsistence,Categorical,,,,
CARNEIRO_020,State surveying of agricultural land,State surveying of agricultural land,,Subsistence,Categorical,,,,
CARNEIRO_021,Regular food surplus accumulation,"Surplus of food regularly accumulated over and above the annual subsistence needs of the food producers, and not consumed by them",,Subsistence,Categorical,,,,
CARNEIRO_022,Agricultural estates,Agricultural estates which regularly produce a sizable surplus of food for sale to urban centers,,Subsistence,Categorical,,,,
CARNEIRO_023,Cash crops,Cash crops raised entirely or largely for sale rather than for domestic consumption,,Subsistence,Categorical,,,,
CARNEIRO_024,Government granaries,Granaries erected by the government and food distributed from them by a government official,,Subsistence,Categorical,,,,
CARNEIRO_025,Domesticated animals serve as a source of food,Domesticated animals serve as a source of food (exclude the eating during famines or other unusual occasions of domesticated animals not normally used as food),,Subsistence,Categorical,,,,
CARNEIRO_026,Domesticated animals used for packing,Domesticated animals used for packing,,Subsistence,Categorical,,,,
CARNEIRO_027,Domesticated animals used for traction,Domesticated animals used for traction,,Subsistence,Categorical,,,,
CARNEIRO_028,Domesticated animals used for riding,Domesticated animals used for riding,,Subsistence,Categorical,,,,
CARNEIRO_029,Domesticated animals kept for wool or hair,Domesticated animals kept for wool or hair,,Subsistence,Categorical,,,,
CARNEIRO_030,Selective breeding of domesticated animals,Selective breeding of domesticated animals,,Subsistence,Categorical,,,,
CARNEIRO_031,Specialized herdsmen or dairymen,Specialized herdsmen or dairymen,,Subsistence,Categorical,,,,
CARNEIRO_032,Fisheries or fish ponds,Fisheries or fish ponds stocked and maintained to provide a regular supply of fish for food,,Subsistence,Categorical,,,,
CARNEIRO_033,Settlements occupied for more than 10 years,"Settlements occupied for more than 10 years, on the average (but not necessarily all year around but at least 40 percent of the year)",,Settlements,Categorical,,,,
CARNEIRO_034,Settlements occupied for at least 50 years,Settlements occupied for at least 50 years (but not necessarily all year around but at least 40 percent of the year),,Settlements,Categorical,,,,
CARNEIRO_035,Settlements arranged in regular patterns,"Settlement(s) arranged in regular pattern(s), (e.g., long house, houses in rows or streets, houses built around a square or plaza)",,Settlements,Categorical,,,,
CARNEIRO_036,Communities of 100 or more,Permanent communities (settled or nomadic) of about 100 or more members,,Settlements,Categorical,,,,
CARNEIRO_037,Communities of 500 or more,Permanent communities (settled or nomadic) of about 500 or more members,,Settlements,Categorical,,,,
CARNEIRO_038,"Towns of 2,000 or more","Towns: nucleated settlements of 2,000 or more residents",,Settlements,Categorical,,,,
CARNEIRO_039,Two or more towns,Two or more towns,,Settlements,Categorical,,,,
CARNEIRO_040,"City of 10,000 or more","City: administrative and commercial population center of at least 10,000 residents",,Settlements,Categorical,,,,
CARNEIRO_041,Two or more cities,Two or more cities,,Settlements,Categorical,,,,
CARNEIRO_042,"City of 100,000 or more","City of 100,000 or more residents",,Settlements,Categorical,,,,
CARNEIRO_043,Planned cities,Planned cities,,Settlements,Categorical,,,,
CARNEIRO_044,Paved streets,Paved streets,,Settlements,Categorical,,,,
CARNEIRO_045,Paved sidewalks,Paved sidewalks,,Settlements,Categorical,,,,
CARNEIRO_046,Paved plaza,Paved plaza (exclude patios surrounded by house walls or exclusive to individual houses),,Settlements,Categorical,,,,
CARNEIRO_047,Civic or ceremonial structures,"Civic or ceremonial structures (including mens house) not ordinarily used as dwellings by family units (excluding structures built for specific occasions and later abandoned, dismantled, or destroyed)",,Settlements,Categorical,,,,
CARNEIRO_048,Permanent cemeteries,"Permanent cemeteries, where the graves of the interred are marked",,Settlements,Categorical,,,,
CARNEIRO_049,Stone monuments commemorating persons or events,"Stone monuments or stelae (excluding cairns of unworked stones) to mark or commemorate important persons or events (e.g., megaliths, obelisks, triumphal arches, pyramids)",,Settlements,Categorical,,,,
CARNEIRO_050,"Grandstands, theathers, amphitheaters, or stadiums","Grandstands, theathers, amphitheaters, or stadiums where spectators can witness contests or performances",,Settlements,Categorical,,,,
CARNEIRO_051,Formal or landscape gardens,Formal or landscape gardens,,Settlements,Categorical,,,,
CARNEIRO_052,Ornamental fountains,Ornamental fountains,,Settlements,Categorical,,,,
CARNEIRO_053,Aqueducts or conduits,Aqueducts or conduits of stone or brick to supply water for domestic use,,Settlements,Categorical,,,,
CARNEIRO_054,Running water piped into buildings,Running water piped into dwellings or public buildings,,Settlements,Categorical,,,,
CARNEIRO_055,Rain-catching or water-holding cisterns,Cisterns: rain-catching or water-holding basins artificially lined with stone or other hard or impervious material (excluding clay),,Settlements,Categorical,,,,
CARNEIRO_056,"Baths of stone, brick, or tile","Baths of stone, brick, or tile",,Settlements,Categorical,,,,
CARNEIRO_057,Drains,"Drains: lined channels, covered or uncovered, or pipes used to carry off rain or bath water",,Settlements,Categorical,,,,
CARNEIRO_058,Sewers,"Sewers: lined and covered channels or pipes, primarily for carrying away human waste",,Settlements,Categorical,,,,
CARNEIRO_059,Apartment houses,Apartment houses: multi-storied dwellings in which rooms are customarily rented to tenants,,Settlements,Categorical,,,,
CARNEIRO_060,Permanent fortifications,"Permanent fortifications (including palisades around settlements, blockhouses, citadels, and fortified boundaries, but excluding structures whose primary purpose is not defensive, e.g., compounds, fortifications around dwellings which are normally occupied by only one or a few families)",,Settlements,Categorical,,,,
CARNEIRO_061,Stone or brick fortification walls,"Walls of stone, brick, adobe, or beaten earth (including earthworks) used in fortification",,Settlements,Categorical,,,,
CARNEIRO_062,Frontiers fortified with stone walls,Frontiers fortified with stone walls,,Settlements,Categorical,,,,
CARNEIRO_063,Moats,Moats (excluding dry ditches but including diverted rivers) used to protect settlements or fortifications,,Settlements,Categorical,,,,
CARNEIRO_064,Taverns,"Taverns, inns, or eating houses providing food, drink, and/or lodging",,Settlements,Categorical,,,,
CARNEIRO_065,Brothels,Brothels,,Settlements,Categorical,,,,
CARNEIRO_066,Fire brigade,Fire brigade,,Settlements,Categorical,,,,
CARNEIRO_067,Well-maintained roads connecting settlements,Broad and well-maintained roads connecting settlements,,Settlements,Categorical,,,,
CARNEIRO_068,Network of paved roads connecting settlements,Network of paved roads connecting settlements,,Settlements,Categorical,,,,
CARNEIRO_069,Bridges or causeways,"Bridges or causeways (excluding log spans, vine ropes, and simple pole frameworks)",,Settlements,Categorical,,,,
CARNEIRO_070,Way stations or resthouses,"Way stations or resthouses, not necessarily staffed, which provide lodging for travelers",,Settlements,Categorical,,,,
CARNEIRO_071,Rectangular ground plan for dwellings,Rectangular ground plan for dwellings,,Architecture,Categorical,,,,
CARNEIRO_072,Houses occupied for at least 10 years,"Substantial houses which are lived in for at least 10 years without being permanently abandoned, dismantled, or rebuilt",,Architecture,Categorical,,,,
CARNEIRO_073,House interior divided by walls or partitions,Interior space of houses permanently divided by means of walls or partitions (include lofts),,Architecture,Categorical,,,,
CARNEIRO_074,Multi-room dwellings,"Dwellings divided into three or more walled-off and separate rooms, with some degree of functional differentiation between them",,Architecture,Categorical,,,,
CARNEIRO_075,Multi-family dwellings,Dwellings which customarily house four or more family units,,Architecture,Categorical,,,,
CARNEIRO_076,Multi-storied structures,Multi-storied structures (not meant to include high storage platforms or lofts which do not form a complete story),,Architecture,Categorical,,,,
CARNEIRO_077,Parts of dwellings extensively painted or carved,"Walls, ceiling, roof, or other part of dwellings or other structures extensively painted or carved",,Architecture,Categorical,,,,
CARNEIRO_078,Cut stone masonry,Cut stone masonry,,Architecture,Categorical,,,,
CARNEIRO_079,Stone or brick bases for civic or ceremonial structures,"Cut stone or brick substructures (e. g., platforms, truncated pyramids) used as bases for civic or ceremonial structures",,Architecture,Categorical,,,,
CARNEIRO_080,Dwellings of stone or brick,Dwellings (including walls) constructed of cut stone or fired brick,,Architecture,Categorical,,,,
CARNEIRO_081,Civic or ceremonial buildings of stone or brick,Civic or ceremonial buildings constructed of cut stone or fired brick,,Architecture,Categorical,,,,
CARNEIRO_082,Monumental architecture of stone or brick,"Monumental architecture of stone or brick (e.g., pyramids, palaces, temples, fortresses, amphitheaters, but excluding solid platforms)",,Architecture,Categorical,,,,
CARNEIRO_083,Quarrying of stone for construction,Quarrying of stone for construction (rather than merely dressing loose stones),,Architecture,Categorical,,,,
CARNEIRO_084,Megalithic construction,"Megalithic construction using blocks of stone too heavy to be moved without mechanical devices such as rollers, sledges, ramps, or pulleys",,Architecture,Categorical,,,,
CARNEIRO_085,Stone coursing,Stone coursing (blocks of cut stone laid in successive horizontal layers),,Architecture,Categorical,,,,
CARNEIRO_086,Rubble used between walls in stone or brick construction,Rubble or some other fill used between walls in stone or brick construction,,Architecture,Categorical,,,,
CARNEIRO_087,Fired brick used in construction,Fired brick used in construction,,Architecture,Categorical,,,,
CARNEIRO_088,Walls of beaten earth or adobe,Walls of beaten earth or adobe,,Architecture,Categorical,,,,
CARNEIRO_089,True mortar used in construction,"True mortar (i.e., a plastic substance with a chemical bonding action) used in construction",,Architecture,Categorical,,,,
CARNEIRO_090,Facing of stone or brick walls or columns,"Facing of stone or brick walls or columns with plaster, alabaster, tile, etc.",,Architecture,Categorical,,,,
CARNEIRO_091,"Roof of tile, brick, dressed stone, planks, etc.","Roof of tile, brick, dressed stone, planks, etc. (i.e., not bark, mud, thatching, or similar material)",,Architecture,Categorical,,,,
CARNEIRO_092,"House floors made of stone, brick, tile, wood etc.","House floors made of stone, brick, tile, flagstone, or wood (including palm and bamboo)",,Architecture,Categorical,,,,
CARNEIRO_093,Stone lintels,Stone lintels,,Architecture,Categorical,,,,
CARNEIRO_094,Arches of stone or brick,Arches of stone or brick (corbeled or keystone),,Architecture,Categorical,,,,
CARNEIRO_095,True arch,True (keystone) arch,,Architecture,Categorical,,,,
CARNEIRO_096,Stone or brick pillars or columns used structurally,Stone or brick pillars or columns used structurally,,Architecture,Categorical,,,,
CARNEIRO_097,Stone or brick stairways,"Stone or brick stairways (of cut blocks, or carved into living rock)",,Architecture,Categorical,,,,
CARNEIRO_098,Buttresses used to strengthen stone or brick walls,Buttresses used to strengthen stone or brick walls,,Architecture,Categorical,,,,
CARNEIRO_099,Ornamental carving of stone architectural features,"Ornamental carving of stone columns, walls, lintels, or other architectural features of stone",,Architecture,Categorical,,,,
CARNEIRO_100,Architectural features cut into living rock,"Architectural features (e.g., tombs, stairways) cut into living rock",,Architecture,Categorical,,,,
CARNEIRO_101,Fortresses built of stone or brick,"Fortresses built of stone or brick (including walled cities and citadels, where people take refuge in time of war)",,Architecture,Categorical,,,,
CARNEIRO_102,Elaborations in fortified walls,"Elaborations in fortified walls (including, e.g., towers, salients, merlons, but excluding loopholes)",,Architecture,Categorical,,,,
CARNEIRO_103,Professional carpenters or woodworkers,Professional (full-time) carpenters or woodworkers (excluding canoemakers and thatchers),,Architecture,Categorical,,,,
CARNEIRO_104,Professional stone masons or bricklayers,Professional (full-time) stone masons or bricklayers,,Architecture,Categorical,,,,
CARNEIRO_105,Professional architects or engineers,Professional (full-time) architects or engineers,,Architecture,Categorical,,,,
CARNEIRO_106,Landed property,"Landed property: individual or familial ownership rights over improved land (e.g., cultivated plots, house sites) continue to be exercised, even if land ceases to be occupied or worked",,Economics,Categorical,,,,
CARNEIRO_107,Boundary markers to indicate private property limits,Boundary markers (excluding growing crop plants but including hedges) set up in order to indicate the limits of a piece of private property,,Economics,Categorical,,,,
CARNEIRO_108,Agricultural land commonly bought and sold,Agricultural land commonly bought and sold,,Economics,Categorical,,,,
CARNEIRO_109,Economic speculation in commodities,"Economic speculation in land, foodstuffs, or other commodities a common practice",,Economics,Categorical,,,,
CARNEIRO_110,Inscription of land or other forms of property,Inscription of land or other forms of property (registry of deeds),,Economics,Categorical,,,,
CARNEIRO_111,Rental of land or dwellings,Rental of land or dwellings by landlords to tenants as a system of tenure,,Economics,Categorical,,,,
CARNEIRO_112,Share-cropping,Share-cropping: a system of land tenure in which the tenant (who is not a serf) pays the landlord a specific proportion or amount of the crop as rent,,Economics,Categorical,,,,
CARNEIRO_113,Leasing of land or dwellings,Leasing of land or dwellings: a formal agreement (not merely observance of custom) in which a tenants right of occupancy is guaranteed for a specified period,,Economics,Categorical,,,,
CARNEIRO_114,Serfs,"Serfs: tenants and their descendants legally bound to land which they farm for the benefit of private persons or corporate groups (e.g., feudal lords, temples, monasteries)",,Economics,Categorical,,,,
CARNEIRO_115,Private or government control over natural resources,"Private ownership (not ownership by a sib or a local group) or government control exercised over scarce or limited natural resources (e.g., clay pits, clam beds, salt, water holes, mineral deposits, grove of wild fruit trees) rather than free access to them",,Economics,Categorical,,,,
CARNEIRO_116,Distinctive marks used to indicate property ownership,"Seals, brands, or other distinctive marks used to indicate ownership of manufactured property",,Economics,Categorical,,,,
CARNEIRO_117,Wealth differences among society members,"Marked differences in wealth (e.g., real property, livestock, precious metals, slaves; but excluding wives, ceremonial bundles) among members of the society (other than the difference between the principal political leader or religious specialist and everyone else)",,Economics,Categorical,,,,
CARNEIRO_118,Feasts or gift-giving ceremonies showcasing wealth,"Feasts or gift-giving ceremonies in which much wealth is displayed or consumed, including those for state purposes",,Economics,Categorical,,,,
CARNEIRO_119,Recorded inventories of property owned,"Recorded inventories of property owned (e.g., with pebbles, knotted cords, notched sticks, clay tablets, ledgers)",,Economics,Categorical,,,,
CARNEIRO_120,Most individual property inherited,"Most individual (not family) property owned and in the possession of a person at the time of his death (exclude property lent out and still outstanding) transmitted by inheritance rather than being buried, destroyed, or otherwise disposed of at the death of the owner",,Economics,Categorical,,,,
CARNEIRO_121,Testamentary disposition of property,"Testamentary disposition of property, by a written will, through a formal executor, or orally in the presence of a witness (excluding incorporeal property)",,Economics,Categorical,,,,
CARNEIRO_122,Craft specialization,"Craft specialization: some craft(s) which only a limited number of persons in the society practice (excluding the making of religious or ceremonial objects by shamans or priests, or chiefs)",,Economics,Categorical,,,,
CARNEIRO_123,Craft production for economic exchange,A significant amount of craft production primarily for economic exchange rather than for personal consumption,,Economics,Categorical,,,,
CARNEIRO_124,Full-time craft specialists,"Full-time craft specialists (e.g., brewer, lapidary, tailor, baker, tanner)",,Economics,Categorical,,,,
CARNEIRO_125,Service specialization,"Service specialization: some services which only a limited number of persons in the society provide (excluding religious specialists and curers, but including clans and other groups that perform specialized services)",,Economics,Categorical,,,,
CARNEIRO_126,Full-time service specialists,"Full-time service specialists other than religious practitioners (e.g., tattooer, barber, accountant, lawyer, physician)",,Economics,Categorical,,,,
CARNEIRO_127,Professional barbers or hairdressers,Professional barbers or hairdressers,,Economics,Categorical,,,,
CARNEIRO_128,Professional porters or bearers,Professional porters or bearers,,Economics,Categorical,,,,
CARNEIRO_129,Full-time food production specialists,"Processing or preparation of food by full-time specialists (e.g., millers, butchers, cooks, bakers) other than household servants or slaves",,Economics,Categorical,,,,
CARNEIRO_130,Professional brewers or wine makers,Professional brewers or wine makers,,Economics,Categorical,,,,
CARNEIRO_131,Full-time clothing or shoes makers,Clothing or shoes manufactured by full-time specialists,,Economics,Categorical,,,,
CARNEIRO_132,Medium of exchange used in trade,"Medium of exchange, which is frequently used in trade for a variety of commodities",,Economics,Categorical,,,,
CARNEIRO_133,Currency,"Currency: a medium valued primarily for its use in economic exchanges rather than as an ornamental or consumable good, and which may be exchanged freely for any goods or commodities which are traded",,Economics,Categorical,,,,
CARNEIRO_134,Economic exchange in currency or money,A significant amount of economic exchange carried out by means of currency or money,,Economics,Categorical,,,,
CARNEIRO_135,Metallic currency valued according to weight,Metallic currency valued according to weight (including coins),,Economics,Categorical,,,,
CARNEIRO_136,Two or more metals used as currency,Two or more metals of different monetary value used as currency,,Economics,Categorical,,,,
CARNEIRO_137,Coined money,Coined money,,Economics,Categorical,,,,
CARNEIRO_138,Coins of different denominations,Coins of different denominations,,Economics,Categorical,,,,
CARNEIRO_139,Animals or foodstuffs lent out at interest,"Animals, seed crops, or foodstuffs lent out at interest",,Economics,Categorical,,,,
CARNEIRO_140,Money or goods lent out at interest,Money or goods (not including animals or foodstuffs) lent out at interest,,Economics,Categorical,,,,
CARNEIRO_141,Professional moneylenders,Professional moneylenders,,Economics,Categorical,,,,
CARNEIRO_142,Banks,"Banks, which pay interest on deposits and make loans",,Economics,Categorical,,,,
CARNEIRO_143,Pledging of movable property as debt security,Pledging of items of movable property as security on a debt,,Economics,Categorical,,,,
CARNEIRO_144,Pledging of oneself or family member as debt security,Pledging of oneself or members of ones family as security on a debt,,Economics,Categorical,,,,
CARNEIRO_145,Mortgage,Mortgage: a legal instrument offering land or houses as security to guarantee the repayment of a loan,,Economics,Categorical,,,,
CARNEIRO_146,Insurance,"Insurance: protection against calamities (e.g., fire, theft, loss of merchandise at sea) offered by an underwriter for a premium",,Economics,Categorical,,,,
CARNEIRO_147,Trade between communities,Trade between communities,,Economics,Categorical,,,,
CARNEIRO_148,Economically important trade between communities or regions,Economically important trade carried out between communities or regions (including that conducted through itinerant merchants),,Economics,Categorical,,,,
CARNEIRO_149,Economically important trade in finished goods between communities,Economically important trade in which finished goods (excluding food) are traded to other communities or societies (including exchanges conducted through itinerant merchants),,Economics,Categorical,,,,
CARNEIRO_150,Full-time specialists in trade,Full-time specialist(s) in trade,,Economics,Categorical,,,,
CARNEIRO_151,Trading outposts,Trading outposts maintained outside the territory of the society,,Economics,Categorical,,,,
CARNEIRO_152,Markets,"Markets, in which a variety of goods are traded",,Economics,Categorical,,,,
CARNEIRO_153,Daily and permanent markets,Daily and permanent markets,,Economics,Categorical,,,,
CARNEIRO_154,Specialized urban markets,"Specialized market(s) within a town or city (e.g., fish market, cattle market, textile market, flower market)",,Economics,Categorical,,,,
CARNEIRO_155,Itinerant merchants or specialized traders,"Itinerant merchants or specialized traders who are members of the society itself (rather than foreigners), and who remain such even if they trade outside the society",,Economics,Categorical,,,,
CARNEIRO_156,Sedentary merchants,Sedentary merchants who operate fixed commercial establishments outside the market area,,Economics,Categorical,,,,
CARNEIRO_157,Wholesale merchants,Wholesale merchants,,Economics,Categorical,,,,
CARNEIRO_158,Professional merchants undertake large-scale trading expeditions,Professional merchants undertake large-scale trading expeditions,,Economics,Categorical,,,,
CARNEIRO_159,Merchants form a significant segment of the society,Merchants form a significant segment of the society,,Economics,Categorical,,,,
CARNEIRO_160,Merchant class with particular rights or restrictions,"Merchants constitute a class, with prescribed advantages (e.g., exemption from military service or corvée labor) and/or disabilities (e.g., exclusion from holding office, subjection to discriminatory taxation)",,Economics,Categorical,,,,
CARNEIRO_161,Legally enforceable economic contracts,Contracts: economic agreements legally enforceable by a higher authority,,Economics,Categorical,,,,
CARNEIRO_162,Economic transactions formally witnessed or notarized,Economic transactions formally witnessed or notarized,,Economics,Categorical,,,,
CARNEIRO_163,Commercial agreements negotiated between states,Commercial agreements negotiated between states,,Economics,Categorical,,,,
CARNEIRO_164,"Commerical transactions authenticated with seals, signatures, or marks","Seals, signatures, or individual marks used to authenticate commercial transactions",,Economics,Categorical,,,,
CARNEIRO_165,Warehouses for privately-owned merchandise,Commercial warehouses used to store privately-owned merchandise,,Economics,Categorical,,,,
CARNEIRO_166,Written documents used for large-scale goods shipments,Bills of lading or other written documents used in large-scale shipments of goods,,Economics,Categorical,,,,
CARNEIRO_167,Long-term commercial records kept,Long-term commercial records kept,,Economics,Categorical,,,,
CARNEIRO_168,Companies,Companies: business enterprises including two or more persons who are organized to carry out commercial or industrial operations,,Economics,Categorical,,,,
CARNEIRO_169,Corporations,"Corporations: companies, chartered by the state, the members of which have limited liability",,Economics,Categorical,,,,
