Society,Bibtext,Reference,Full_reference,D-PLACE,notes
C1_Roman_Empire,caryandhaarhoff1940,Cary & Haarhoff 1940,"Cary, M., & Haarhoff, T.J. 1940. Life and thought in the Greek and Roman world. London: Methuen & Co.",,
C1_Roman_Empire,suetonius1957,Suetonius 1957,Suetonius 1957. The Twelve Caesars. Baltimore: Penguin Books.,,
C1_Roman_Empire,cowell1961,Cowell 1961,"Cowell, F. R. 1961. Everyday Life in Ancient Rome. London: B. T. Batsford.",,
C1_Roman_Empire,mcdonald1966,McDonald 1966,"McDonald, A. H. 1966. Republican Rome. London: Thames and Hudson.",,
C1_Roman_Empire,dill1904,Dill 1904,"Dill, S. 1904. Roman Society from Nero to Marcus Aurelius. London: Macmillan and Co.",,
C1_Roman_Empire,jerome1956,Jerome 1956,"Je?ro?me, C. 1956. Daily Life in Ancient Rome: the People and the City at the Height of the Empire. Penguin Books.",,
C1_Roman_Empire,forbesanddijksterhuism1963,Forbes & Dijksterhuis 1963,"Forbes, R. J., Dijksterhuism E. J. 1963. A History of Science and Technology. Volume 1. Baltimore: Penguin Books.",,
C1_Roman_Empire,grant1960,Grant 1960,"Grant, M. 1960. The World of Rome. London: Weidenfeld & Nicolson.",https://d-place.org/sources/grant1960,
C1_Roman_Empire,adam1792,Adam 1792,"Adam, A. 1792. Roman Antiquities: or, An Account of the Manners and Customs of the Romans. Edinburgh: W. Creech.",,
C1_Roman_Empire,lewisandreinhold1966,Lewis & Reinhold 1966,"Lewis, N., Reinhold, M. 1966. Roman Civilization Sourcebook II: The Empire. New York: Harper Torchbooks.",,
C1_Roman_Empire,rostovtzeff1928,Rostovtzeff 1928,"Rostovtzeff, M.1928. A History of the Ancient World 2 : Rome. Oxford: Clarendon Press.",https://d-place.org/sources/rostovtzeff1945,
C1_Roman_Empire,frank1959a,"Frank 1959, Vol. 1","Frank, T. 1959. An Economic Survey of Ancient Rome. Volume  I: Rome and Italy of the Republic. Paterson, NJ: Pageant Books.",,
C1_Roman_Empire,frank1959b,"Frank 1959, Vol. 5","Frank, T. 1959. An Economic Survey of Ancient Rome. Volume V: Rome and Italy of the Empire. Paterson, NJ: Pageant Books.",,
C1_Roman_Empire,frank1920,Frank 1920,"Frank, T. 1920. An Economic History of Rome to the End of the Republic. Baltimore: The Johns Hopkins Press.",,
C1_Roman_Empire,bloch1942,Bloch 1942,"Bloch, L. 1942. Instituciones Romanas. Barcelona: Editorial Labor.",,
C1_Roman_Empire,singeretal1956,Singer et al. 1956,"Singer, C. et al. 1956. A History of Technology. Volume II. The Mediterranean Civilizations and the Middle Ages. London: Oxford University Press.",,
C1_Roman_Empire,sandars1922,Sandars 1922,"Sandars, T. C. 1922. The Intitutes of Justinian. London: Longmans, Green and Co.",,
C1_Roman_Empire,thapar1965,Thapar 1965,"Thapar, R. 1965. A History of India. Baltimore: Penguin Books.",,
