ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,main_focal_year,HRAF_name_ID,HRAF_ID ,region,comment,,  
C1,Ancient Romans ,41.9,12.5,lati1261,Roman Empire,xd530,125,Imperial Romans (EI09),EI09 ,Southeastern Europe,,,
C2,Ancient India,25.6,85.1,clas1258,Ancient India (Mauryan Empire),,-250,,,Indian Subcontinent,Coordinates for capital city of Pataliputra (modern Patna),,
C3,Ancient Egyptians ,30,31,egyp1246,New Kingdom Egypt,xd524,-1350,,,Northern Africa,,,
C4,Classical Athens,38,23.7,anci1242,Periclean Athens,,-450,,,Southeastern Europe ,,,
C5,Vikings,59,11.1,oldn1244,Vikings,,,,,Northern Europe ,,,
C6,Ashanti,7,-2,asan1239 ,Ashanti,xd208,,Akan (FE12),FE12,West Tropical Africa,,,
C7,Tahitians,-17.71,-149.54,tahi1242,Tahitians,xd897,,,,South-Central Pacific,,,
C8,Ganda,1,32,gand1255,Baganda,xd124,,Ganda (FK07) ,FK07,East Tropical Africa,,,
C9,Dogon ,15,-3,bank1259,Dogon,xd266,,Dogon (FA16) ,FA16 ,West Tropical Africa ,,,
C10,Azande ,5,27,zand1248,Azande,xd359,,Azande (FO07) ,FO07,West-Central Tropical Africa,,,
C11,Tsonga,-24,32,tson1249,Thonga,xd27,,Tsonga (FT06) ,FT06,South Tropical Africa,,,
C12,Venda,-23,30,vend1245,Bavenda,xd29,,,,Southern Africa ,,,
C13,Batak,2,98.5,toba1265,Batak,xd753,,,,Malesia,"Probably more general than Toba Batak (Ib4, xd753) but there should be overlap between them",,
C14,Shilluk,10,32,shil1265,Shilluk,xd380,,Shilluk (FJ23) ,FJ23,Northeast Tropical Africa,,,
C15,Mru,21.47,92.32,mruu1242,Mru,,1955,,,Indian Subcontinent ,,,
C16,Mangarevans,-23.12,-134.97,mang1401,Mangarevans,xd896,,,,South-Central Pacific,,,
C17,Muscogee,33,-84,cree1270 ,Creek,xd1252,,Creek (NN11) ,NN11 ,Southeastern U.S.A.,,,
